01.01.2007   N1106
Образец: "Ta"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
    834    2134     425    66,7
    839    1634     427    66,7
    844    1467     430    66,7
    849    1467     432    33,3
    854    1434     435    33,3
    859    1467     437    33,3
    864    1534     440    66,7
    869    1534     442    66,7
    874    1567     445    66,7
    879    1600     447    66,7
    884    1634     450     100
    889    1567     452     100
    894    1434     455     100
    899    1367     457    66,7
    904    1300     460    66,7
    909    1267     462    66,7
    914    1234     465    66,7
    919    1367     467    66,7
    924    1367     469     100
    929    1234     472     100
    934    1200     474     100
    939    1234     477     133
    944    1300     479     133
    949    1534     482     167
    954    1767     484     167
    959    1767     487     167
    964    1667     489     200
    969    1500     492     167
    974    1334     494     167
    979    1334     497     133
    984    1434     499     133
    989    1567     502     133
    994    1667     504     100
    999    1567     507     100
   1004    1434     509    66,7
   1009    1267     511    66,7
   1014    1200     514    66,7
   1019    1167     516    33,3
   1024    1334     519    33,3
   1029    1500     521    33,3
   1034    1767     524    66,7
   1039    1767     526    66,7
   1044    1600     529     100
   1049    1334     531     100
   1054    1500     534     100
   1059    1900     536     100
   1064    2401     538     100
   1069    2734     541     100
   1074    3101     543     100
   1079    3768     546     133
   1084    4901     548     167
   1089    6002     551     200
   1094    7002     553     233
   1099    7902     556     267
   1104    8369     558     267
   1109    8536     561     267
   1114    9803     563     233
   1119   12303     566     200
   1124   13804     568     200
   1129   14337     571     167
   1134   14137     573     167
   1139   13904     576     133
   1144   13303     578     167
   1149   10436     581     167
   1154    6335     583     133
   1159    3067     586     100
   1164    1600     588    66,7
   1169    1100     591    33,3
   1174    1000     593    33,3
   1179     967     596    33,3
   1184    1134     598    66,7
   1189    1300     601    66,7
   1194    1167     603    66,7
   1199     867     606    66,7
   1204     567     608    66,7
   1209     667     610    33,3
   1214     800     613    33,3
   1219     767     615    33,3
   1224     734     618    33,3
   1229    1134     620    33,3
   1234    1600     623    33,3
   1239    1667     625    33,3
   1244    1534     628    33,3
   1249    1700     630    33,3
   1254    1867     633    33,3
   1259    2567     635     100
   1264    9302     638     167
   1269   23306     640     333
   1274   37310     643     433
   1279   38710     645     467
   1284   31208     648     433
   1289   21339     650     300
   1294   17905     652     233
   1299   20139     655     300
   1304   31942     657     667
   1309   58915     660    1234
   1314   88223     662    1700
   1319   89390     665    1867
   1324   65884     667    1800
   1329   46212     670    1467
   1334   39944     672    1034
   1339   37910     675     700
   1344   26940     677     367
   1349   18105     680    66,7
   1354   10936     682     0,0
   1359    6135     685    66,7
   1364    3001     687    66,7
   1369    2167     690    66,7
   1374    2134     692    66,7
   1379    1900     695    33,3
   1384    2001     697    33,3
   1389    2034     700    66,7
   1394    1867     702    66,7
   1399    1734     704    66,7
   1404    1500     707    66,7
   1409    1300     709    66,7
   1414    1234     712    33,3
   1419    1167     714    33,3
   1424    1334     717    66,7
   1429    1400     719    66,7
   1434    1234     722    66,7
   1439     967     724    66,7
   1444    1267     727    66,7
   1449    1600     729    66,7
   1454    2134     732    66,7
   1459    2834     734    33,3
   1464    2967     737    33,3
   1469    3067     739    33,3
   1474    3067     742    66,7
   1479    2767     744    66,7
   1484    2534     747    66,7
   1489    2101     749    33,3
   1494    2634     752    33,3
   1499    9002     754     0,0
   1504   30174     757     400
   1509   69818     759    1134
   1514  104427     761    2234
   1519  121531     764    2967
   1524  112229     766    2534
   1529   79554     769    1467
   1534   41811     771     533
   1539   18071     774    33,3
   1544    8369     776    66,7
   1549    4301     779     100
   1554    2301     781     100
   1559    1567     784     100
   1564    1234     786    33,3
   1569    1067     789    33,3
   1574     967     791    33,3
   1579     800     794    33,3
   1584     934     796    33,3
   1589    1067     799    33,3
   1594     867     801    33,3
   1599     667     804    66,7
   1604     667     806    33,3
   1609     734     809    33,3
   1614     734     811    33,3
   1619     633     813    33,3
   1624     633     816     100
   1629    1200     818     100
   1634     633     821     100
   1639     467     823    66,7
   1644     567     826    33,3
   1649     600     828    33,3
   1654     600     831    66,7
   1659     567     833    66,7
   1664     600     836    66,7
   1669     667     838    33,3
   1674     700     841    66,7
   1679     567     843    33,3
   1684     500     846    33,3
   1689     467     848    33,3
   1694     600     851    33,3
   1699     700     853    33,3
   1704     667     856    33,3
   1709     734     858    66,7
   1714    1600     861    33,3
   1719    3034     863    33,3
   1724    3734     866    33,3
   1729    3067     868    33,3
   1734    2267     870    33,3
   1739    1267     873    66,7
   1744     734     875    66,7
   1749     567     878    66,7
   1754     500     880    33,3
   1759     400     883    66,7
   1764     500     885    66,7
   1769     467     888    66,7
   1774     433     890    33,3
   1779     433     893    33,3
   1784     400     895     0,0
   1789     333     898     0,0
   1794     367     900    33,3
   1799     333     903    33,3
   1804     300     905    33,3
   1809     500     908    33,3
   1814     600     910    33,3
   1819     467     913     0,0
   1824     300     915     0,0
   1829     333     918    33,3
   1834     367     920    66,7
   1839     333     923    33,3
   1844     367     925     0,0
   1849     233     928     0,0
   1854     233     930     0,0
   1859     333     933    33,3
   1864     333     935    33,3
   1869     367     937    33,3
   1874     267     940     0,0
   1879     233     942     0,0
   1884     333     945    33,3
   1889     333     947    33,3
   1894     233     950    33,3
   1899     267     952     0,0
   1904     267     955     0,0
   1909     300     957     0,0
   1914     200     960    33,3
   1919     167     962    33,3
   1924     300     965     0,0
   1929     267     967    33,3
   1934     433     970    33,3
   1939     400     972     0,0
   1944     333     975     0,0
   1949     300     977    66,7
   1954     233     980    66,7
   1959     167     982    33,3
   1964     300     985    33,3
   1969     233     987    33,3
   1974     233     990    33,3
   1979     167     992    33,3
   1984     167     995    33,3
   1989     200     997    33,3
   1994     267    1000    66,7
   1999     267    1002     100
   2004     333    1005    33,3
   2009     233    1007    33,3
   2014     267    1010     0,0
   2019     167    1012    33,3
   2024     300    1015    33,3
   2029     267    1017    33,3
   2034     167    1020    66,7
   2039     200    1022    66,7
   2044     200    1025    33,3
   2049     267    1027    33,3
   2054     200    1030    33,3
   2059     100    1032    33,3
   2064     267    1034     0,0
   2069     233    1037    33,3
   2074     167    1039    33,3
   2079     167    1042     0,0
   2084     267    1044    33,3
   2089     233    1047     0,0
   2094     133    1049    33,3
   2099     333    1052    66,7
   2104     267    1054    33,3
